# time, NonControlledInfectedClasses, ControlledInfectedClasses
1.083008356545960993e+02,2.470816908021703057e+03,5.705024798972652889e+02
1.093036211699164255e+02,2.456023531292802090e+03,5.609191959549704052e+02
1.103064066852367660e+02,2.441318066507517869e+03,5.515030824307940520e+02
1.113091922005570922e+02,2.426699997775280281e+03,5.422511503604171139e+02
1.123119777158774326e+02,2.412168812362535846e+03,5.331604651144585887e+02
1.133147632311977731e+02,2.397724000643810086e+03,5.242281454006241574e+02
1.143175487465180993e+02,2.383365056057064976e+03,5.154513622841908500e+02
1.153203342618384397e+02,2.369091475062873542e+03,5.068273382265109603e+02
1.163231197771587659e+02,2.354902757106977333e+03,4.983533461412204133e+02
1.173259052924791064e+02,2.340798404585827484e+03,4.900267084678376364e+02
1.183286908077994326e+02,2.326777922814763770e+03,4.818447962624379670e+02
1.193314763231197730e+02,2.312840819998516054e+03,4.738050283050827147e+02
1.203342618384401135e+02,2.298986607203757558e+03,4.659048702236760846e+02
1.213370473537604397e+02,2.285214798333448016e+03,4.581418336339497728e+02
1.223398328690807801e+02,2.271524910102761169e+03,4.505134752954298847e+02
1.233426183844011064e+02,2.257916462016395599e+03,4.430173962838292709e+02
1.243454038997214468e+02,2.244388976347098833e+03,4.356512411782050549e+02
1.253481894150417730e+02,2.230941978115254642e+03,4.284126972562768287e+02
1.263509749303621135e+02,2.217574995069397573e+03,4.212994937094048851e+02
1.273537604456824397e+02,2.204287557667544206e+03,4.143094008832813415e+02
1.283565459610027801e+02,2.191079199059231541e+03,4.074402295843393063e+02
1.293593314763231206e+02,2.177949455068178395e+03,4.006898304295294793e+02
1.303621169916434610e+02,2.164897864175490668e+03,3.940560929340230132e+02
1.313649025069637730e+02,2.151923967503340918e+03,3.875369447579527105e+02
1.323676880222841135e+02,2.139027308799064031e+03,3.811303510301699475e+02
1.333704735376044539e+02,2.126207434419618039e+03,3.748343136815112757e+02
1.343732590529247943e+02,2.113463893316366011e+03,3.686468707833140570e+02
1.353760445682451063e+02,2.100796237020136687e+03,3.625660958931393338e+02
1.363788300835654468e+02,2.088204019626538411e+03,3.565900974097831977e+02
1.373816155988857872e+02,2.075686797781486803e+03,3.507170179387995290e+02
1.383844011142061277e+02,2.063244130666933415e+03,3.449450336690912877e+02
1.393871866295264681e+02,2.050875579986762204e+03,3.392723537607450908e+02
1.403899721448467801e+02,2.038580709952849702e+03,3.336972197440918535e+02
1.413927576601671205e+02,2.026359087271254793e+03,3.282179049298754308e+02
1.423955431754874610e+02,2.014210281128547194e+03,3.228327138303483252e+02
1.433983286908078014e+02,2.002133863178240972e+03,3.175399815910602115e+02
1.444011142061281134e+02,1.990129407527341073e+03,3.123380734330389714e+02
1.454038997214484539e+02,1.978196490722986255e+03,3.072253841049816288e+02
1.464066852367687943e+02,1.966334691739180698e+03,3.022003373449514356e+02
1.474094707520891347e+02,1.954543591963614062e+03,2.972613853509101887e+02
1.484122562674094752e+02,1.942822775184560214e+03,2.924070082591711639e+02
1.494150417827297872e+02,1.931171827577852582e+03,2.876357136295214900e+02
1.504178272980501276e+02,1.919590337693932270e+03,2.829460359352875685e+02
1.514206128133704681e+02,1.908077896444966882e+03,2.783365360559686792e+02
1.524233983286908085e+02,1.896634097092037109e+03,2.738058007691960825e+02
1.534261838440111489e+02,1.885258535232386748e+03,2.693524422376522693e+02
1.544289693593314610e+02,1.873950808786739344e+03,2.649750974852071863e+02
1.554317548746518014e+02,1.862710517986677360e+03,2.606724278549952487e+02
1.564345403899721418e+02,1.851537265362080689e+03,2.564431184407789033e+02
1.574373259052924823e+02,1.840430655728628153e+03,2.522858774824941861e+02
1.584401114206127943e+02,1.829390296175356980e+03,2.481994357190498306e+02
1.594428969359331347e+02,1.818415796052283440e+03,2.441825456997853507e+02
1.604456824512534752e+02,1.807506766958080334e+03,2.402339810775532669e+02
1.614484679665738156e+02,1.796662822727814273e+03,2.363525359550264398e+02
1.624512534818941560e+02,1.785883579420739579e+03,2.325370244582186956e+02
1.634540389972144681e+02,1.775168655308151301e+03,2.287862809181641808e+02
1.644568245125348085e+02,1.764517670861294164e+03,2.250991614492784549e+02
1.654596100278551489e+02,1.753930248739329727e+03,2.214746211366907005e+02
1.664623955431754894e+02,1.743406013777359931e+03,2.179120412327256702e+02
1.674651810584958014e+02,1.732944592974508623e+03,2.144112628654632431e+02
1.684679665738161418e+02,1.722545615482058111e+03,2.109718814714795769e+02
1.694707520891364823e+02,1.712208712591643916e+03,2.075932232963009483e+02
1.704735376044568227e+02,1.701933517723503655e+03,2.042744633173694808e+02
1.714763231197771631e+02,1.691719666414785934e+03,2.010146903337783613e+02
1.724791086350974751e+02,1.681566796307912227e+03,1.978129449056294220e+02
1.734818941504178156e+02,1.671474547138995376e+03,1.946682424897799422e+02
1.744846796657381560e+02,1.661442560726315378e+03,1.915795881414514099e+02
1.754874651810584965e+02,1.651470480958850203e+03,1.885459858236359878e+02
1.764902506963788369e+02,1.641557953784861866e+03,1.855664444968704174e+02
1.774930362116991489e+02,1.631704627200539335e+03,1.826399821525382094e+02
1.784958217270194893e+02,1.621910151238694880e+03,1.797656284046600490e+02
1.794986072423398298e+02,1.612174177957518395e+03,1.769424262203316118e+02
1.805013927576601702e+02,1.602496361429384251e+03,1.741694330473620198e+02
1.815041782729804822e+02,1.592876357729714982e+03,1.714457214737506661e+02
1.825069637883008227e+02,1.583313824925898643e+03,1.687703796581653535e+02
1.835097493036211631e+02,1.573808423066263003e+03,1.661425115622179192e+02
1.845125348189415035e+02,1.564359814169099991e+03,1.635612370403870273e+02
1.855153203342618440e+02,1.554967662211749939e+03,1.610256918345614849e+02
1.865181058495821560e+02,1.545631633119735625e+03,1.585350275010341079e+02
1.875208913649024964e+02,1.536351394755953379e+03,1.560884112888591346e+02
1.885236768802228369e+02,1.527126616909915811e+03,1.536850259831124390e+02
1.895264623955431773e+02,1.517956971287049782e+03,1.513240697229467173e+02
1.905292479108634893e+02,1.508842131498047820e+03,1.490047557994849114e+02
1.915320334261838298e+02,1.499781773048271361e+03,1.467263124348764620e+02
1.925348189415041702e+02,1.490775573327209031e+03,1.444879825579756414e+02
1.935376044568245106e+02,1.481823211597987211e+03,1.422890235749716226e+02
1.945403899721448511e+02,1.472924368986933587e+03,1.401287071307315841e+02
1.955431754874651631e+02,1.464078728473192314e+03,1.380063188669172405e+02
1.965459610027855035e+02,1.455285974878392381e+03,1.359211581777531137e+02
1.975487465181058440e+02,1.446545794856369866e+03,1.338725379657408041e+02
1.985515320334261844e+02,1.437857876882938399e+03,1.318597844080755692e+02
1.995543175487464964e+02,1.429221911245716001e+03,1.298822367083576523e+02
2.005571030640668369e+02,1.420637590033998777e+03,1.279392468532695091e+02
2.015598885793871773e+02,1.412104607128690986e+03,1.260301793778180723e+02
2.025626740947075177e+02,1.403622658192282643e+03,1.241544111311237373e+02
2.035654596100278582e+02,1.395191440658879856e+03,1.223113310438658772e+02
2.045682451253481702e+02,1.386810653724286567e+03,1.205003398987342962e+02
2.055710306406685106e+02,1.378479998336134940e+03,1.187208501042029241e+02
2.065738161559888511e+02,1.370199177184068276e+03,1.169722854717664546e+02
2.075766016713091915e+02,1.361967894689973946e+03,1.152540809967416635e+02
2.085793871866295035e+02,1.353785856998264990e+03,1.135656826427099730e+02
2.095821727019498439e+02,1.345652771966213550e+03,1.119065471296536600e+02
2.105849582172701844e+02,1.337568349154332282e+03,1.102761417258199401e+02
2.115877437325905248e+02,1.329532299816806699e+03,1.086739440433317441e+02
2.125905292479108653e+02,1.321544336891975945e+03,1.070994418375517938e+02
2.135933147632311773e+02,1.313604174992863591e+03,1.055521328101912104e+02
2.145961002785515177e+02,1.305711530397755268e+03,1.040315244161396322e+02
2.155988857938718581e+02,1.297866121040828375e+03,1.025371336740132620e+02
2.166016713091921986e+02,1.290067666502827251e+03,1.010684869806677000e+02
2.176044568245125390e+02,1.282315888001787698e+03,9.962511992929171356e+01
2.186072423398328510e+02,1.274610508383811521e+03,9.820657712908766257e+01
