# time, Quarantine, Isolation
1.273537604456824397e+02,5.000002617743533051e-01,3.128889323287942781e-01
1.283565459610027801e+02,4.999998873798582322e-01,3.112334669288702726e-01
1.293593314763231206e+02,4.999995156302312616e-01,3.095883082012845788e-01
1.303621169916434610e+02,4.999991467644536725e-01,3.079533959035776758e-01
1.313649025069637730e+02,4.999987809096041458e-01,3.063286494945328120e-01
1.323676880222841135e+02,4.999984181354057977e-01,3.047139892256142124e-01
1.333704735376044539e+02,4.999980584809963213e-01,3.031093389254445603e-01
1.343732590529247943e+02,4.999977019685141189e-01,3.015146248400997209e-01
1.353760445682451063e+02,4.999973486102488041e-01,2.999297742814937551e-01
1.363788300835654468e+02,4.999969984125494094e-01,2.983547147301987001e-01
1.373816155988857872e+02,4.999966513780415012e-01,2.967893733068121542e-01
1.383844011142061277e+02,4.999963075069271401e-01,2.952336764510267164e-01
1.393871866295264681e+02,4.999959667977691424e-01,2.936875497064475038e-01
1.403899721448467801e+02,4.999956292479751374e-01,2.921509175683420501e-01
1.413927576601671205e+02,4.999952948541006581e-01,2.906237033912166812e-01
1.423955431754874610e+02,4.999949636120393226e-01,2.891058293802071799e-01
1.433983286908078014e+02,4.999946355171428491e-01,2.875972167139919655e-01
1.444011142061281134e+02,4.999943105642936647e-01,2.860977858744975788e-01
1.454038997214484539e+02,4.999939887479493139e-01,2.846074572956928117e-01
1.464066852367687943e+02,4.999936700621635532e-01,2.831261524955474562e-01
1.474094707520891347e+02,4.999933545005937896e-01,2.816537959275560721e-01
1.484122562674094752e+02,4.999930420564968614e-01,2.801903178877537814e-01
1.494150417827297872e+02,4.999927327227113860e-01,2.787356589470025292e-01
1.504178272980501276e+02,4.999924264916300043e-01,2.772897765523005820e-01
1.514206128133704681e+02,4.999921233551536393e-01,2.758526546551340886e-01
1.524233983286908085e+02,4.999918233046246607e-01,2.744243174642511107e-01
1.534261838440111489e+02,4.999915263307282975e-01,2.730048486340789227e-01
1.544289693593314610e+02,4.999912324233464211e-01,2.715944172616447383e-01
1.554317548746518014e+02,4.999909415713410521e-01,2.701933116915198330e-01
1.564345403899721418e+02,4.999906537622285096e-01,2.688019807253780313e-01
1.574373259052924823e+02,4.999903689816884711e-01,2.674210781941872561e-01
1.584401114206127943e+02,4.999900872128087981e-01,2.660514985872896032e-01
1.594428969359331347e+02,4.999898084349118088e-01,2.646943738844491079e-01
1.604456824512534752e+02,4.999895326216975411e-01,2.633509659219404053e-01
1.614484679665738156e+02,4.999892597382519233e-01,2.620223173660291560e-01
1.624512534818941560e+02,4.999889897361335933e-01,2.607083850198373409e-01
1.634540389972144681e+02,4.999887225451378203e-01,2.594061099729809694e-01
1.644568245125348085e+02,4.999884580592105499e-01,2.581053634888808568e-01
1.654596100278551489e+02,4.989844745253275704e-01,2.567929084661004224e-01
1.664623955431754894e+02,4.960678180142234495e-01,2.554954557479242605e-01
1.674651810584958014e+02,4.936222727619807293e-01,2.542850744108119954e-01
1.684679665738161418e+02,4.913746750628548710e-01,2.531745311174743440e-01
1.694707520891364823e+02,4.892157797749031589e-01,2.521458757199810941e-01
1.704735376044568227e+02,4.871019862784153887e-01,2.511775171441235632e-01
1.714763231197771631e+02,4.850151059603468040e-01,2.502517647480115293e-01
